REFERENCNECISLO;POHLAVIE;VEK;STAVDOKLADU;DANCELKOM;UHRADENACIASTKA;UHRADENACIASTKADOSPLATNOSTI;UHRADENACIASTKAPOSPLATNOSTI;ZOSTAVAUHRADIT;CISLOSPRAVKYNE;INTERVENCIA;PRIZNANIE2021A
1;zena;71;P;111.0000;111.0000;111.0000;0.0000;0.0000;19;Export DZN B;0
2;zena;68;P;99.0900;99.0900;99.0900;0.0000;0.0000;19;Export DZN B;0
3;muz;69;P;21.2400;21.2400;21.2400;0.0000;0.0000;19;Export DZN B;0
4;muz;69;P;7.6000;7.6000;7.6000;0.0000;0.0000;19;Export DZN B;0
5;muz;47;Z;307.4100;102.4700;102.4700;0.0000;204.9400;19;Export DZN B;0
6;zena;73;P;85.8600;85.8600;85.8600;0.0000;0.0000;19;Export DZN B;0
7;zena;59;P;41.8000;41.8000;41.8000;0.0000;0.0000;19;Export DZN B;0
8;zena;65;Z;66.5000;22.1800;22.1800;0.0000;44.3200;19;Export DZN B;0
9;zena;78;P;32.0400;32.0400;32.0400;0.0000;0.0000;19;Export DZN B;0
10;muz;59;P;360.7400;360.7400;360.7400;0.0000;0.0000;19;Export DZN B;0
11;zena;89;P;25.8000;25.8000;25.8000;0.0000;0.0000;19;Export DZN B;0
12;muz;56;Z;459.9000;153.3100;153.3100;0.0000;306.5900;19;Export DZN B;0
13;muz;75;P;101.3300;101.3300;101.3300;0.0000;0.0000;19;Export DZN B;0
14;zena;66;P;25.5600;25.5600;25.5600;0.0000;0.0000;19;Export DZN B;0
15;muz;70;P;27.0000;27.0000;27.0000;0.0000;0.0000;19;Export DZN B;0
16;muz;71;P;61.4400;61.4400;61.4400;0.0000;0.0000;19;Export DZN B;0
17;muz;70;P;131.0200;131.0200;131.0200;0.0000;0.0000;19;Export DZN B;0
18;muz;77;P;27.7400;27.7400;27.7400;0.0000;0.0000;19;Export DZN B;0
19;zena;78;P;135.8900;135.8900;135.8900;0.0000;0.0000;19;Export DZN B;0
20;zena;58;P;135.3900;135.3900;135.3900;0.0000;0.0000;19;Export DZN B;0
21;zena;65;P;52.2500;52.2500;52.2500;0.0000;0.0000;19;Export DZN B;0
22;zena;47;Z;63.6500;63.6500;42.4200;21.2300;0.0000;19;Export DZN B;0
23;zena;67;P;25.2000;25.2000;25.2000;0.0000;0.0000;19;Export DZN B;0
24;muz;72;P;65.7000;65.7000;65.7000;0.0000;0.0000;19;Export DZN B;0
25;muz;55;P;133.2400;133.2400;133.2400;0.0000;0.0000;19;Export DZN B;0
26;muz;63;P;59.4600;59.4600;59.4600;0.0000;0.0000;19;Export DZN B;0
27;muz;65;Z;80.1000;53.4000;53.4000;0.0000;26.7000;19;Export DZN B;0
28;zena;46;P;23.0000;23.0000;23.0000;0.0000;0.0000;19;Export DZN B;0
29;muz;57;P;63.0000;63.0000;63.0000;0.0000;0.0000;19;Export DZN B;0
